연번,시도,시군구,주소(도로명) ,운영기관,연락처
33,서울,광진구,서울특별시 광진구 자양로15길 60 광진구평생학습센터 1층,광진구가족센터,02-458-0623
34,서울,광진구,서울특별시 광진구 천호대로 136길 55 구의2동복합청사 3층,광진구가족센터,02-6953-0677
35,서울,서초구,서울특별시 서초구 사평대로 205 센트럴시티 파미엔스테이션 2층,서초구가족센터,02-6919-9748
36,서울,강남구,서울특별시 강남구 개포로 617-8 1층,강남구가족센터,070-7458-2249
37,서울,강남구,서울특별시 강남구 자곡로11길 28 210동 1층,강남구가족센터,070-7458-9966
38,서울,송파구,서울특별시 송파구 토성로 19길 37 2층,송파구가족센터,070-7459-3844
39,서울,송파구,서울특별시 송파구 백제고분로 145 잠실본동 복합청사 3층,송파구가족센터,070-7459-3884
40,서울,강동구,서울특별시 강동구 양재대로 1634 3층 ,강동구가족센터,02-471-0813
41,부산,북구,부산광역시 북구 효열로 256 1층,부산광역시건강가정지원센터,051-330-3474
42,부산,북구,부산광역시 북구 금곡대로 457 KT금곡빌딩 2층,부산북구다문화가족지원센터,070-4854-6354
43,부산,북구,부산광역시 북구 효열로 76 화정종합사회복지관 2층,부산북구다문화가족지원센터,070-4854-6352
44,부산,북구,부산광역시 북구 덕천로 123 5층,덕천종합사회복지관,051-341-4676
45,부산,사하구,부산광역시 사하구 하신번영로 245 3층,사하구가족센터,051-205-4583
46,부산,사하구,부산광역시 사하구 서포로 48 1층,사하구가족센터,051-262-4583
47,부산,사하구,부산광역시 사하구 다대로 530번길 7 다대복지타운 2층 ,사하구가족센터,051-262-4582
48,부산,사하구,부산광역시 사하구 장림로 161번길 14 장림문화복지센터 1층,사하구가족센터,051-266-5959
49,부산,사하구,"부산광역시 사하구 대티로 59, 2층",사하구가족센터,051-207-0096
50,부산,사하구,부산광역시 사하구 감천로117번길 2,사하구가족센터,070-7457-0104
51,부산,연제구,부산광역시 연제구 월드컵대로 46번길 11 1층 ,연제구가족센터,051-665-4365
52,부산,동래구,부산광역시 동래구 사직북로63번길 20-7 2층 ,동래구가족센터,051-506-5766
53,부산,수영구,부산광역시 수영구 황령산로7번길 45 1층,수영구가족센터,051-758-3073
54,부산,서구,부산광역시 서구 구덕로 127 3층,부산서구가족센터,051-257-0064
55,부산,사상구,부산광역시 사상구 학감대로 109-16 신구덕우성아파트 관리동 2층,사상구가족센터,051-317-0017
56,부산,사상구,부산광역시 사상구 주례로 110 4층,사상구육아종합지원센터,051-711-3389
57,부산,해운대구,부산광역시 해운대구 재반로256번길 31,해운대구건강가정지원센터,051-749-4354
58,부산,동구,부산광역시 동구 초량중로 113 3층,부산동구가족센터,051-603-0219
59,대구,중구,대구광역시 중구 남산로 53-1 지하1층,대구중구가족센터,053-431-1224
60,대구,동구,대구광역시 동구 안심로 300 5층,대구동구가족센터,053-961-2472
61,대구,서구,"대구광역시 서구 서대구로 330, 6층",대구서구가족센터,053-355-8042
62,대구,서구,대구광역시 서구 평리로 73길 37 4층,대구서구가족센터,053-355-8042
63,대구,남구,대구광역시 남구 봉덕남로 99 2층,대구남구가족센터,053-471-4250
64,대구,남구,대구광역시 남구 대명로 14길 7,대구남구가족센터,053-721-6300
65,대구,북구,대구광역시 북구 대천로 77 3층,대구북구가족센터,053-327-2992
66,대구,북구,대구광역시 북구 내곡로 69 대구금호LH천년나무5단지 커뮤니티센터 1층,대구북구가족센터,053-327-2299
67,대구,북구,대구광역시 북구 칠곡중앙대로 434 2층 219호,대구북구가족센터,053-324-0606
68,대구,수성구,대구광역시 수성구 들안로 16길 78 2층,수성구가족센터,070-4680-5244
69,대구,수성구,대구광역시 수성구 상록로 42 3층 ,수성구가족센터,070-5220-4350
70,대구,달서구,대구광역시 달서구 와룡로 15 2층 ,달서구가족센터,053-262-1512
71,대구,달서구,대구광역시 달서구 야외음악당로13길 60 지하1층,달서구가족센터,053-593-1519
72,대구,달서구,대구광역시 달서구 서당로 30,달서구가족센터,053-267-1512
73,대구,달서구,대구광역시 달서구 감삼북길 119-10 3층,달서구가족센터,053-264-1511
74,대구,달성군,대구광역시 달성군 현풍읍 테크노중앙대로 231 1층,달성군가족센터,053-636-7390
75,대구,달성군,대구광역시 달성군 현풍읍 국가산단대로 70길 41,달성군가족센터,053-636-7390
76,인천,중구,인천광역시 중구 인중로 50번길 2층,인천중구가족센터,032-330-9570
77,인천,중구,인천광역시 중구 흰바위로 277 푸르지오 더 스카이 252동 1층,인천중구가족센터,032-223-9500
78,인천,중구,인천광역시 중구 영종대로 252번길 12 205동 110호,인천중구가족센터,032-763-4822
79,인천,중구,인천광역시 중구 두미포로 140(영종49BL 행복주택 주민공동시설) 1층,인천중구가족센터,032-223-9800
80,인천,중구,인천광역시 중구 제물량로113번길 16 202호,인천여성가족재단,032-760-7917
81,인천,중구,인천광역시 중구 은하수로 351 커뮤니티센터 1층,인천여성가족재단,032-760-7917
82,인천,동구,인천광역시 동구 박문로 8 2층 다목적실,인천동구가족센터,070-7438-4911
83,인천,동구,인천광역시 동구 염전로40번길 70 주민행복센터 2층,인천재능대학교산학협력단,032-764-7460
84,인천,동구,인천광역시 동구 화도진로113,인천여성가족재단,032-772-0067
85,인천,미추홀구,인천광역시 미추홀구 미추홀대로 598번길 75 인천신광교회 본관 1층,미추홀구가족센터,032-426-2993
86,인천,미추홀구,인천광역시 미추홀구 인하로 174-12 제운경로당 2층,미추홀구가족센터,032-875-2991
87,인천,미추홀구,인천광역시 미추홀구 장고개로 29-1 2층,미추홀구가족센터,032-874-2291
88,인천,미추홀구,인천광역시 미추홀구 낙섬중로 129 주민복지관 3동 1층,미추홀구가족센터,032-876-2993
89,인천,미추홀구,인천광역시 미추홀구 숙골로 112번길 12 도화 서희스타힐스,인천KCEM보육교사교육원,032-872-1255
90,인천,미추홀구,인천광역시 미추홀구 노적산로43 학익두산위브 101동 1층,인천KCEM보육교사교육원,032-874-8180
91,인천,미추홀구,인천광역시 미추홀구 재넘이길9번길 6 학익동 호진다온채 206호,인천KCEM보육교사교육원,032-872-3179
92,인천,연수구,인천광역시 연수구 함박안로62번길 41 1층,연수구가족센터,032-821-2730
93,인천,연수구,인천광역시 연수구 송도교육로 63 1층,연수구가족센터,032-719-9994
94,인천,연수구,인천광역시 연수구 봉재산로20 연수서해그랑블1단지 내,인천KCEM보육교사교육원,032-719-8331
95,인천,연수구,인천광역시 연수구 센트럴로 415 커뮤니티센터 B1층,인천여성가족재단,032-858-8801
96,인천,남동구,인천광역시 남동구 소래로 645 2층,남동구가족센터,032-467-3905
97,인천,남동구,인천광역시 남동구 논현로 81 논현하늘마을LH4단지 내,남동구가족센터,032-421-3905
98,인천,남동구,인천광역시 남동구 서창남순환로43 2층,남동구가족센터,032-466-3905
99,인천,남동구,인천광역시 남동구 서창 운연천로11 서창동 꿈에그린 아파트 1층,인천어린이집연합회,032-469-7977
100,인천,남동구,인천광역시 남동구 석산로138 간석금호어울림아파트 1층,인천여성가족재단,032-442-1224
101,인천,남동구,인천광역시 남동구 선수촌공원로104 2층,인천여성가족재단,032-468-1223
102,인천,남동구,인천광역시 남동구 논현로 106 어진마을한화꿈에그린아파트 1층,인천여성가족재단,032-426-1224
103,인천,남동구,인천광역시 남동구 아암대로1503번길 98 한화에코메트로 6단지 1층,인천여성가족재단,032-431-1225
104,인천,남동구,인천광역시 남동구 장도로 86-17 2층,인천여성가족재단,032-425-1666
105,인천,남동구,인천광역시 남동구 만부로4번길 1 2층,인천여성가족재단,032-465-1886
106,인천,남동구,인천광역시 남동구 백범로226번길 52 1층,인천여성가족재단,032-464-2141
107,인천,남동구,인천광역시 남동구 용천로87번길 23 구월힐스테이트 3단지,인천여성가족재단,032-473-8270
108,인천,남동구,인천광역시 남동구 만경로28번길 3 1층,인천어린이집연합회,032-472-9966
109,인천,남동구,인천광역시 남동구 벽돌말로19번길 7,인천어린이집연합회,032-432-0120
110,인천,부평구,인천광역시 부평구 부영로 161 주안빌딩 3층 ,부평구건강가정지원센터,032-509-3974
111,인천,부평구,인천광역시 부평구 마장로 324번길 37 4층,부평구건강가정지원센터,032-509-3974
112,인천,계양구,인천광역시 계양구 계양산로102번길 5 3층,계양구가족센터,032-547-1015(102)
113,인천,계양구,인천광역시 계양구 봉오대로569번길 22 4층,계양구가족센터,032-547-1015(102)
114,인천,계양구,인천광역시 계양구 계산새로 108 은행마을삼보아파트 관리동 2층,인천여성가족재단,032-556-7771
115,인천,계양구,인천광역시 계양구 용종로 97 용종마을신대진아파트 관리동 별동 1층,인천여성가족재단,032-548-7772
116,인천,계양구,인천광역시 계양구 장제로 853 4층,인천여성가족재단,032-556-7773
117,인천,서구,인천광역시 서구 경명대로 693번길 6 2층,인천서구가족센터,070-4550-4514
118,인천,서구,인천광역시 서구 완정로 188번2길 3 검단어린이집 지하1층,인천서구가족센터,032-565-1543
119,인천,서구,인천광역시 서구 봉오재1로 36 루원시티센트럴타운아파트,기독교한국침례회서인천교회,032-560-5735
120,인천,서구,인천광역시 서구 승학로 495번길 7 검암동 서해그랑블아파트 107동 103호,기독교한국침례회서인천교회,032-560-5735
121,인천,강화군,인천광역시 강화군 강화읍 북문길 11-1,강화군가족센터,032-930-3590
122,인천,옹진군,인천광역시 옹진군 영흥면 영흥북로 228 1층,인천여성가족재단,032-899-2332
123,광주,광산구,광주광역시 광산구 광산로 70 2층,광산구가족센터,062-942-9338
124,광주,광산구,광주광역시 광산구 임방울대로 800번길 11-5 1층  ,광산구가족센터,062-973-6151
125,광주,남구,광주광역시 남구 효우로80-1 가족사랑나눔및지역자활센터1층,광주남구가족센터,070-4208-8152
126,광주,남구,광주광역시 남구 봉선로 208 5층 ,광주남구가족센터,062-675-9337
127,광주,동구,"광주광역시 동구 용산2로 20, LH@ 102동 1층 ",광주동구가족센터,062-234-5798
128,광주,동구,"광주광역시 동구 동계로 68, 2층",광주동구가족센터,062-233-1113
129,광주,서구,광주광역시 서구 화정로87-1 쌍촌시영종합사회복지관 2층 ,광주서구가족센터,062-373-0072
130,광주,북구,광주광역시 북구 임방울대로1041번길 15 용두주공아파트 관리동 2층,광주북구가족센터,062-573-2963
131,광주,북구,광주광역시 북구 필문대로 55 2층,광주북구가족센터,062-515-2963
132,대전,동구,대전광역시 동구 용운로 110 용운종합사회복지관,용운종합사회복지관,042-284-5711
133,대전,중구,대전광역시 중구 중앙로 119 3층,대전대학교산학협력단,042-335-7013
134,대전,중구,대전광역시 중구 목중로 39번길 39 3층 마미뜰 작은도서관 내 일부공간,사회복지법인푸른하늘,042-252-1475
135,대전,서구,"대전광역시 서구 정림동로7번길 28-12, 수밋들어울림플랫폼 1층(정림동)",대전서구가족센터,042-585-5928
136,대전,유성구,대전광역시 유성구 테크노 6로 40-17,대전광역시가족센터,042-252-9989
137,대전,유성구,대전광역시 유성구 반석로 78 4층,대전대학교산학협력단,042-824-9983
138,대전,대덕구,"대전광역시 대덕구 대청로 47, 1층(신탄진동)",대덕구육아복합마더센터,070-7771-1274
139,울산,중구,울산광역시 중구 반구로 55 e편한세상강변아파트,울산중구가족센터,052-700-2293
140,울산,남구,울산광역시 남구 여천로12번길 50 해피투게더타운 지하 1층,울산남구가족센터,052-256-7922
141,울산,남구,울산광역시 남구 수암로33번길 20 가도빌리지 202호,울산남구가족센터,052-257-7922
142,울산,동구,울산광역시 동구 남목5길 16 서부노인회관 2층,울산동구가족센터,052-232-3356
143,울산,동구,울산광역시 동구 대송로 112 3층,울산동구가족센터,070-8803-4677
144,울산,북구,울산광역시 북구 강동산하5로 푸른도서관 내,울산북구가족센터,052-912-0027
145,울산,북구,울산광역시 북구 강동산하5로 52 힐스테이트 작은도서관 내,울산북구가족센터,052-292-2007
146,울산,북구,울산광역시 북구 박상진삼로 25 한양수자인 아파트 커뮤니티 시설,울산북구가족센터,052-298-6002
147,울산,울주군,울산광역시 울주군 범서읍 점촌5길 39-7 1층,울주군가족센터,052-242-9600
148,울산,울주군,울산광역시 울주군 덕신로 299 온산읍 행정복지타운 5층,울주군가족센터,052-242-9600
149,세종,세종시,세종특별자치시 보람로 77(도담동 645) 1층,세종시가족센터,044-867-9336
150,세종,세종시,세종특별자치시 조치원읍 원리 12-11 1층,세종시가족센터,044-862-9379
151,세종,세종시,세종특별자치시 호려울로 42(보람동630-4) 2층,세종시가족센터,044-867-9467
152,세종,세종시,세종특별자치시 새롬로 14 (새롬동 66-1) 1층,세종시가족센터,044-867-9466
153,세종,세종시,세종특별자치시 마음로 284(고운동 산96) 4층,세종시가족센터,044-867-9464
154,세종,세종시,세종특별자치시 보듬3로 114(아름동 1286) 1층,세종시가족센터,044-867-9465
155,세종,세종시,세종특별자치시 대평1길 10(대평동 92-1) 3층,세종시가족센터,044-867-9468
156,세종,세종시,세종특별자치시 한누리대로 2023(소담동9-178) 2층,세종시가족센터,044-867-9481
157,세종,세종시,세종특별자치시 마음로64(고운동1712) 별관 2층,세종시가족센터,044-867-9480
158,세종,세종시,세종특별자치시 조치원읍 서창리 26-1 서창행복주택 관리동 1층,세종시가족센터,044-867-9489
159,세종,세종시,세종특별자치시 한솔동 961 정음관 1층,세종시가족센터,044-862-9455
160,세종,세종시,세종특별자치시 다정남3로 10 2층,세종시가족센터,044-862-9457
161,세종,세종시,세종특별자치시 해밀2로 6(해밀동 산12) 지하 1층,세종시가족센터,044-862-9459
162,세종,세종시,세종특별자치시 반곡로 39(반곡동 45-8) 5층,세종시가족센터,044-862-9458
163,세종,세종시,세종특별자치시 대첩로 76 2층,세종시가족센터,044-862-9454
164,세종,세종시,세종특별자치시 갈매로 280 1층,세종시가족센터,044-862-9460
165,세종,세종시,세종특별자치시다솜 1로 31 1층,세종시가족센터,044-862-9461
166,경기,고양시,경기도 고양시 일산서구 중앙로 1600 일산서구청 2층,고양시건강가정지원센터,031-969-4045
167,경기,고양시,"경기도 고양시 덕양구 토당로42번길 23-7 토당어울림센터 1,2층",고양시건강가정지원센터,031-811-4045
168,경기,고양시,경기도 고양시 일산동구 장항한강2로 20,고양시건강가정지원센터,031-817-4045
169,경기,광주시,구)시청사 복합건축물 6층 광주시가족센터(예정),광주시가족센터,031-762-7142
170,경기,구리시,경기도 구리시 체육관로 74 5층,구리시가족센터,031-557-3874
171,경기,군포시,경기도 군포시 고산로 263 2층,군포시가족센터,031-390-0896
172,경기,군포시,경기도 군포시 송부로74번길 3-32 2층,군포시가족센터,031-390-0896
173,경기,군포시,경기도 군포시 부곡동 1194번지,군포시가족센터,031-390-0896
174,경기,김포시,"경기도 김포시 율생로 82-23, 대곶문화복지센터 2층",김포시가족센터,031-997-5921
175,경기,부천시,경기도 부천시 부천로 360 도당어울마당 4층,부천시건강가정지원센터,070-4140-0350
176,경기,부천시,경기도 부천시 양지로 151 LH8단지 내,부천시건강가정지원센터,070-4457-5040
177,경기,성남시,경기도 성남시 수정구 고등로 57 고등마을 1단지 102동 주민복지관,성남시가족센터,031-754-9327
178,경기,시흥시,경기도 시흥시 정왕천로 449번길 51 1층,시흥시가족센터,070-7119-0465
179,경기,시흥시,경기도 시흥시 능곡서로27 시흥장현LH4단지 1층,시흥시가족센터,070-7119-0467
180,경기,시흥시,"경기도 시흥시 은계북길7 시흥은계2단지 주민공용시설 내 공동육아 1,2",시흥시가족센터,070-7119-0467
181,경기,시흥시,경기도 시흥시 배곧1로 30 2층,시흥시가족센터,070-4243-2698
182,경기,시흥시,경기도 시흥시 시청로79 LH트리플센텀아파트 스테이센텀 1층,시흥시가족센터,070-4235-8264
183,경기,안성시,경기도 안성시 옥산동 563(가족센터 2층),안성시가족센터,031-677-0110
184,경기,안양시,경기도 안양시 만안구 명학로 56 3층,안양시가족센터,031-446-5572
185,경기,양주시,경기도 양주시 옥정서로130 옥정센트럴파크 대우푸르지오아파트 908동 203호,양주시가족센터,031-858-5688
186,경기,양주시,경기도 양주시 평화로 1475번길 39 6층,양주시가족센터,031-858-5681
187,경기,양평군,경기도 양평군 용문면 용문로 428 용문면사무소 별관 1층,양평군가족센터,031-5176-9809
188,경기,여주시,경기도 여주시 세종로 61 현대아파트 상가3층,여주시가족센터,031-886-0321
189,경기,용인시,경기도 용인시 수지구 법조로 230 1층,용인시가족센터,031-6193-2325
190,경기,의왕시,경기도 의왕시 사천로 11 4층,의왕시가족센터,070-4146-8458
191,경기,의왕시,경기도 의왕시 부곡시장길 75 3층,의왕시가족센터,070-4943-3250
192,경기,의왕시,경기도 의왕시 오전동길 61 2층,의왕시가족센터,070-4154-4456
193,경기,이천시,경기도 이천시 남천로 31 3층,이천시가족센터,031-637-2293
194,경기,파주시,경기도 파주시 가람로116번길 40 가람마을 5단지 관리동 2층,파주시가족센터,031-943-2960
195,경기,평택시,경기도 평택시 세교6로 45 1층,평택시가족센터,031-654-0903
196,경기,평택시,경기도 평택시 고덕면 고덕국제대로 202 르플로랑아파트 관리동 1층,평택시가족센터,031-611-0308
197,경기,평택시,경기도 평택시 고덕갈평3로 40,평택시가족센터,031-668-9445
198,경기,평택시,경기도 평택시 비전3로 13 LH배꽃마을 1단지 상가 1층,평택시가족센터,031-654-8449
199,경기,하남시,경기도 하남시 미사강변한강로 290-2 어린이데이케어센터 2층,하남시가족센터,070-7455-0000
200,경기,하남시,경기도 하남시 위례학암로30 위례로제비앙 7402동 1층,하남시가족센터,02-400-2993
201,경기,하남시,경기도 하남시 감일순환로40 1층,하남시가족센터,02-470-2993
202,경기,하남시,경기도 하남시 신장동로15 1층,하남시가족센터,070-4103-8225
203,경기,화성시,경기도 화성시 동탄기흥로 277번길 12 2604동 1층,화성시가족센터,070-8831-3469
204,경기,화성시,경기도 화성시 동탄대로24길 49 2층,화성시가족센터,031-372-2732
205,경기,화성시,경기도 화성시 동탄대로3길 17-9 3층,화성시가족센터,031-377-8802
206,경기,화성시,경기도 화성시 동탄신리천로9길 76 2층,화성시가족센터,031-378-8744
207,경기,남양주시,경기도 남양주시 다산중앙로 145번길 36 경기행복주택 행복나눔센터 1층,남양주시가족센터,031-557-8211
208,강원,춘천시,강원특별자치도 춘천시 우두로 130 LH천년나무아파트,춘천시가족센터,033-251-9711
209,강원,원주시,강원특별자치도 원주시 판부면 매봉길 16-18 1층,원주시가족센터,033-764-8613
210,강원,원주시,강원특별자치도 원주시 혁신로 350 푸른숨 LH10단지 내,원주시가족센터,033-747-8135
211,강원,원주시,강원특별자치도 원주시 현충로 232번길 12 103호,원주시가족센터,033-742-8612
212,강원,강릉시,강원특별자치도 강릉시 입암로92번길 30-16 1층,강릉시가족센터,070-4218-0498
213,강원,강릉시,강원특별자치도 강릉시 율곡로 2923-12 3층 ,강릉시가족센터,070-5185-0995
214,강원,동해시,강원특별자치도 동해시 천곡1길 20-3 동해시청 제1별관 1층,동해시가족센터,033-530-2171
215,강원,동해시,강원특별자치도 동해시 선돌길 19 유케어센터 1층,동해시가족센터,033-530-2171
216,강원,속초시,강원특별자치도 속초시 미시령로 3307,속초시가족센터,033-633-2789
217,강원,속초시,강원특별자치도 속초시 청대로 210 1층,속초시가족센터,033-633-2790
218,강원,삼척시,강원특별자치도 삼척시 중앙시장길 53-6 1층,삼척시가족센터,033-570-3341
219,강원,삼척시,강원특별자치도 삼척시 원덕읍 삼척로 446-11 1층,삼척시가족센터,033-570-3341
220,강원,홍천군,강원특별자치도 홍천군 꽃뫼로 87 2층,홍천군가족센터,070-7727-6295
221,강원,횡성군,강원특별자치도 횡성군 횡성읍 태기로 78,횡성군가족센터,033-344-3458~9
222,강원,횡성군,강원특별자치도 횡성군 횡성읍 횡성로 379 3층,횡성군가족센터,033-344-3454
223,강원,영월군,강원특별자치도 영월군 영월읍 덕포하리2길 20 1층,영월군가족센터,033-375-8686
224,강원,평창군,강원특별자치도 평창군 평창읍 평창중앙로 67,평창군가족센터,033-330-2556
225,강원,정선군,강원특별자치도 정선군 고한읍 고한10길 28-8,정선군가족센터,033-562-3434
226,강원,정선군,강원특별자치도 정선군 정선읍 용담길 63 북실마루아파트 101동,정선군가족센터,033-591-7411
227,강원,태백시,강원특별자치도 태백시 번영로 234 1층,태백시가족센터,033-554-4001
228,강원,화천군,강원특별자치도 화천군 화천읍 중앙로3길 10 5층,화천군,033-440-4527
229,강원,양양군,강원특별자치도 양양군 양양읍 서문2길 17 1층,양양군가족센터,033-673-9453
230,강원,양구군,강원특별자치도 양구군 양구읍 정림리 164-17 1층,양구군,033-480-2442
231,충북,제천시,충청북도 제천시 명륜로 13길 3 2층,제천시가족센터,043-645-1995
232,충북,제천시,충청북도 제천시 용두대로23길 26 3층,제천하소아동복지관,043-646-7722
233,충북,제천시,"충청북도 제천시 관전로2길 6 1,2층",신백아동복지관,043-652-0070
234,충북,진천군,충청북도 진천군 진천읍 중앙북1길 11-10 2층,진천군가족센터,070-4285-2724
235,충북,진천군,충청북도 진천군 덕산읍 대하로 203 1층,진천군가족센터,043-537-5437
236,충북,청주시,충청북도 청주시 청원구 율량로 135 대원칸타빌 3차 관리동,청주시가족센터,043-211-1817
237,충북,청주시,충청북도 청주시 서원구 산미로 143 대원칸타빌 2차 관리동 ,청주시가족센터,043-287-1817
238,충북,청주시,충청북도 청주시 흥덕구 대신로 73번길 금호어울림 1단지 관리동,청주시가족센터,043-234-1817
239,충북,청주시,충청북도 청주시 상당구 목련로 27 A동 202호,청주시가족센터,043-296-1817
240,충북,청주시,충청북도 청주시 서원구 무심서로 333 2층,청주시가족센터,070-8856-1872
241,충북,충주시,충청북도 충주시 예성로 344,충주시가족센터,043-857-5965
242,충북,충주시,충청북도 충주시 염밭로 22,충주시가족센터,043-857-5966
243,충북,충주시,충청북도 충주시 중앙탑면 기업도시로 189,충주시가족센터,043-857-5967
244,충북,충주시,충청북도 충주시 사직산21길 31 1층,충주시가족센터,043-857-5962
245,충북,충주시,충청북도 충주시 금곡서1길 5 충주연수주공6단지 2층,충주시가족센터,043-857-5968
246,충북,충주시,충청북도 충주시 교동1길 2-3 2층,충주시가족센터,043-857-5969
247,충북,괴산군,충청북도 괴산군 칠성면 자연드림길 71 파크빌1동 102호,자연드림생산기업협동조합,043-760-7040
248,충북,음성군,충청북도 음성군 음성읍 중앙로 137번길 13 2층,음성군가족센터,043-873-0961
249,충북,음성군,충청북도 음성군 맹동명 사예2길 37 1층,음성군가족센터,043-882-0962
250,충북,영동군,충청북도 영동군 영동읍 성안길 9-4 1층,영동군가족센터,043-770-8489
251,충북,증평군,충청북도 증평군 증평읍 보건복지로 56-2 2층,증평군,043-835-4835
252,충북,옥천군,충청북도 옥천군 옥천읍 삼금로 4길 6 2층,옥천군가족센터,043-732-1911
253,충북,단양군,충청북도 단양군 단양읍 군청로 85 3층,단양군가족센터,043-421-6207
254,충북,보은군,충청북도 보은군 보은읍 뱃들4길 11-14 1층,넥스트클럽사회적협동조합,043-544-8587
255,충남,공주시,충청남도 공주시 의당로 23,공주시가족센터,041-853-0885
256,충남,공주시,충청남도 공주시 우금티로 753 공주대 옥룡캠퍼스 유아교육관 1층,공주시가족센터,041-850-6092
257,충남,공주시,"충청남도 공주시 유구읍 구장터길4-6,  2층",공주시가족센터,041-841-0884
258,충남,공주시,"충청남도 공주시 월송동현로 51,  2층",공주시가족센터,041-961-6093
259,충남,금산군,충청남도 금산군 금산읍 군청5길 35,금산군,041-750-4181
260,충남,당진시,충청남도 당진시 시청1로 38 4층,당진시건강가정지원센터,041-3603218
261,충남,당진시,충청남도 당진시 신평면 말목길 20 1층,당진시건강가정지원센터,041-360-3259
262,충남,당진시,충청남도 당진시 당진시장길 100 당진어시장 2층,당진시건강가정지원센터,041-360-3257
263,충남,당진시,"충청남도 당진시 당진중앙1로 149-3, 3층",당진시건강가정지원센터,041-360-3256
264,충남,당진시,충청남도 당진시 대덕1로 80 1층,당진시건강가정지원센터,041-360-3259
265,충남,당진시,충청남도 당진시 송악읍 틀모시로 830 1층,당진시건강가정지원센터,041-360-3242
266,충남,보령시,충청남도 보령시 명천로 37,보령시가족센터,041-930-3465
267,충남,부여군,충청남도 부여군 부여읍 나성북로 17,백강문화사회적협동조합,041-835-8069
268,충남,부여군,"충남 부여군 규암면 계백로 29(규암누리센터),202호",규암농업협동조합,041-835-3335
269,충남,서산시,충청남도 서산시 서령로 136번지 2층,서산시가족센터,041-664-2711
270,충남,서산시,충청남도 서산시 읍내3로 28 서림빌딩 1층,서산시가족센터,041-664-2713
271,충남,서산시,충청남도 서산시 동서1로 130 관리동 2층,서산시가족센터,041-664-2714
272,충남,서산시,충청남도 서산시 성연면 성연3로 76 1층,서산시가족센터,041-664-2724
273,충남,서산시,충청남도 서산시 석림1로 85 1층,서산시가족센터,041-664-2859
